FLOOR_LEVEL,MASS_X,MASS_Y,MASS_Z,MASS_R1,MASS_R2,MASS_R3
6000,2649.1730000000002,2649.1730000000002,0.0,0.0,0.0,702528.3987705328
10500,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795680.9208988242
15000,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795680.9208988242
19500,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795680.9208988242
23100,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
26700,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
30300,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
33900,0.0,0.0,0.0,0.0,0.0,0.0
37500,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
41100,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
44700,0.0,0.0,0.0,0.0,0.0,0.0
48300,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
51900,1.194,1.194,0.0,0.0,0.0,85.99049005165392
55500,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
59100,2473.877,2473.877,0.0,0.0,0.0,723339.4336372667
62700,2.388,2.388,0.0,0.0,0.0,158.08184708489887
66300,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
69900,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
73500,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
77100,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
80700,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
84300,0.0,0.0,0.0,0.0,0.0,0.0
87900,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
91500,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
95100,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
98700,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.1458004941
102300,1.194,1.194,0.0,0.0,0.0,85.99049005165392
105900,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
109500,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
113100,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
116700,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
120300,2.388,2.388,0.0,0.0,0.0,158.08184708489887
123900,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
127500,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
131100,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
134700,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
138300,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.4140711502
141900,2102.596999999999,2102.596999999999,0.0,0.0,0.0,624745.4195033277
145500,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
149100,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
152700,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
156300,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
159900,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
163500,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
167100,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
170700,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.3824528396
174300,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595958.3514653071
177900,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.1963992106
181500,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.1963992106
185100,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.1963992106
188700,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.1963992106
192300,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.1963992106
196150,1884.4869999999996,1884.4869999999996,0.0,0.0,0.0,585245.9089570788
200000,1884.4869999999996,1884.4869999999996,0.0,0.0,0.0,585245.9089570788
