UX,UY,UZ,RX,RY,RZ
0,0,0,0,0,0
0.000220878,-0.000100078,0,0,0,2.96E-11
0.001080458,-0.000469729,0,0,0,3.30E-10
0.002767326,-0.001119103,0,0,0,1.41E-09
0.005334296,-0.001935838,0,0,0,3.59E-09
0.008893595,-0.002831734,0,0,0,6.66E-09
0.013519922,-0.003696856,0,0,0,1.05E-08
0.019302721,-0.004340721,0,0,0,1.46E-08
0.026483314,-0.004573868,0,0,0,1.76E-08
0.035425519,-0.004293101,0,0,0,1.81E-08
0.046238374,-0.00349284,0,0,0,1.62E-08
0.058338573,-0.002273571,0,0,0,1.65E-08
0.070683208,-0.000778492,0,0,0,2.53E-08
0.082645712,0.000849903,0,0,0,4.26E-08
0.094235917,0.002441513,0,0,0,6.07E-08
0.105277082,0.003876299,0,0,0,7.44E-08
0.115074259,0.005186394,0,0,0,8.74E-08
0.123197748,0.006456695,0,0,0,1.06E-07
0.129826614,0.007657858,0,0,0,1.27E-07
0.135096371,0.008701898,0,0,0,1.44E-07
0.138863025,0.009633893,0,0,0,1.55E-07
0.141091167,0.010611469,0,0,0,1.65E-07
0.141908521,0.011732149,0,0,0,1.78E-07
0.141561271,0.013036397,0,0,0,1.90E-07
0.140438301,0.014576944,0,0,0,1.98E-07
0.138792427,0.016405641,0,0,0,2.01E-07
0.13664889,0.018565444,0,0,0,1.98E-07
0.133859406,0.021026813,0,0,0,1.94E-07
0.129961161,0.023594587,0,0,0,1.97E-07
0.12446466,0.02595986,0,0,0,2.08E-07
0.117265597,0.027857326,0,0,0,2.23E-07
0.108541686,0.029166259,0,0,0,2.34E-07
0.098496593,0.029922894,0,0,0,2.35E-07
0.087143588,0.030257307,0,0,0,2.26E-07
0.074459212,0.030286273,0,0,0,2.12E-07
0.060828454,0.030066291,0,0,0,1.95E-07
0.046923143,0.029629845,0,0,0,1.71E-07
0.033163926,0.029059183,0,0,0,1.36E-07
0.019585438,0.028502576,0,0,0,9.43E-08
0.006427441,0.028074335,0,0,0,5.20E-08
-0.005424354,0.027760876,0,0,0,9.65E-09
-0.015162181,0.027438515,0,0,0,-3.95E-08
-0.022770608,0.027006426,0,0,0,-9.36E-08
-0.028620963,0.026476106,0,0,0,-1.39E-07
-0.03293409,0.025837686,0,0,0,-1.68E-07
-0.03588543,0.02489532,0,0,0,-1.87E-07
-0.03775755,0.023380003,0,0,0,-2.01E-07
-0.038652986,0.021174543,0,0,0,-2.08E-07
-0.038478328,0.018352437,0,0,0,-2.08E-07
-0.037238848,0.015141773,0,0,0,-2.12E-07
-0.034940541,0.011880341,0,0,0,-2.22E-07
-0.031533117,0.00880597,0,0,0,-2.31E-07
-0.026948967,0.005939902,0,0,0,-2.38E-07
-0.021011071,0.003293794,0,0,0,-2.42E-07
-0.013599721,0.000952979,0,0,0,-2.42E-07
-0.004789879,-0.001008858,0,0,0,-2.35E-07
0.005393114,-0.002568329,0,0,0,-2.21E-07
0.01721645,-0.003829664,0,0,0,-2.04E-07
0.030850381,-0.004918304,0,0,0,-1.83E-07
0.045802752,-0.005822712,0,0,0,-1.52E-07
0.061103303,-0.006502787,0,0,0,-1.03E-07
0.075907157,-0.006995029,0,0,0,-3.00E-08
0.08988089,-0.00739164,0,0,0,5.52E-08
0.102951155,-0.007809954,0,0,0,1.36E-07
0.114748859,-0.008280607,0,0,0,2.05E-07
0.124783384,-0.008610579,0,0,0,2.67E-07
0.13306119,-0.00850289,0,0,0,3.23E-07
0.139884545,-0.007812359,0,0,0,3.65E-07
0.145242863,-0.006534276,0,0,0,3.89E-07
0.148995935,-0.004694166,0,0,0,4.03E-07
0.151223324,-0.002359934,0,0,0,4.16E-07
0.152126297,0.000358197,0,0,0,4.24E-07
0.151917016,0.003329769,0,0,0,4.19E-07
0.150817688,0.006415843,0,0,0,4.06E-07
0.149011611,0.009435338,0,0,0,3.95E-07
0.146402049,0.012196083,0,0,0,3.83E-07
0.14255251,0.014607697,0,0,0,3.68E-07
0.136986511,0.01665998,0,0,0,3.61E-07
0.129427004,0.01831258,0,0,0,3.68E-07
0.119946113,0.019416966,0,0,0,3.72E-07
0.10892422,0.019837166,0,0,0,3.54E-07
0.096591963,0.019675322,0,0,0,3.15E-07
0.082929215,0.019198341,0,0,0,2.60E-07
0.06829582,0.018619902,0,0,0,1.92E-07
0.053491278,0.018048479,0,0,0,1.13E-07
0.03910002,0.017485831,0,0,0,2.75E-08
0.025323059,0.016771234,0,0,0,-5.69E-08
0.012326043,0.015653473,0,0,0,-1.33E-07
0.000607495,0.013935773,0,0,0,-1.99E-07
-0.00909367,0.011476744,0,0,0,-2.60E-07
-0.016414142,0.008320852,0,0,0,-3.15E-07
-0.021626979,0.004661171,0,0,0,-3.51E-07
-0.025167245,0.000514557,0,0,0,-3.61E-07
-0.027258513,-0.004153752,0,0,0,-3.49E-07
-0.028086624,-0.009244161,0,0,0,-3.21E-07
-0.027840753,-0.014577165,0,0,0,-2.83E-07
-0.02647975,-0.019933928,0,0,0,-2.40E-07
-0.023885739,-0.025142248,0,0,0,-2.03E-07
-0.020118571,-0.02997449,0,0,0,-1.83E-07
-0.015174095,-0.03406221,0,0,0,-1.73E-07
-0.00888349,-0.037051414,0,0,0,-1.58E-07
-0.00109089,-0.03881043,0,0,0,-1.39E-07
0.008297928,-0.039573433,0,0,0,-1.23E-07
0.019200522,-0.039738456,0,0,0,-1.01E-07
0.031388622,-0.039530482,0,0,0,-5.76E-08
0.044780785,-0.039019253,0,0,0,6.55E-10
0.05951191,-0.038171067,0,0,0,5.97E-08
0.075417583,-0.036839209,0,0,0,1.20E-07
0.091654866,-0.034880577,0,0,0,1.92E-07
0.10725074,-0.03221342,0,0,0,2.83E-07
0.121759499,-0.028917202,0,0,0,3.80E-07
0.135111369,-0.02517041,0,0,0,4.66E-07
0.147075616,-0.0210073,0,0,0,5.31E-07
0.157237766,-0.016314276,0,0,0,5.71E-07
0.165409784,-0.010925262,0,0,0,5.85E-07
0.171733458,-0.004736859,0,0,0,5.76E-07
0.17643387,0.002188535,0,0,0,5.47E-07
0.179627545,0.009617634,0,0,0,5.03E-07
0.181322917,0.017133588,0,0,0,4.49E-07
0.181614068,0.024160578,0,0,0,3.94E-07
0.180686768,0.030165542,0,0,0,3.44E-07
0.178563615,0.034921011,0,0,0,3.04E-07
0.175307813,0.038521402,0,0,0,2.74E-07
0.171085511,0.04122126,0,0,0,2.50E-07
0.165685644,0.043247368,0,0,0,2.26E-07
0.158661463,0.044700013,0,0,0,2.07E-07
0.149745692,0.045536129,0,0,0,2.00E-07
0.138896466,0.045509411,0,0,0,1.92E-07
0.126382942,0.044481577,0,0,0,1.62E-07
0.112602891,0.042707604,0,0,0,1.09E-07
0.097708282,0.040498153,0,0,0,4.41E-08
0.081815437,0.038048751,0,0,0,-2.60E-08
0.065521689,0.035465924,0,0,0,-1.05E-07
0.049713942,0.032615844,0,0,0,-1.90E-07
0.034819785,0.029222847,0,0,0,-2.67E-07
0.020821648,0.025042854,0,0,0,-3.22E-07
0.007942527,0.019864309,0,0,0,-3.53E-07
-0.003265593,0.013621595,0,0,0,-3.65E-07
-0.012427966,0.006558473,0,0,0,-3.57E-07
-0.0195585,-0.000839217,0,0,0,-3.22E-07
-0.024869114,-0.008018344,0,0,0,-2.65E-07
-0.028593486,-0.014563943,0,0,0,-1.97E-07
-0.030899105,-0.020430057,0,0,0,-1.27E-07
-0.031930036,-0.025780409,0,0,0,-6.43E-08
-0.031767978,-0.030640512,0,0,0,-1.93E-08
-0.030294098,-0.034831945,0,0,0,7.84E-09
-0.027352752,-0.03801351,0,0,0,2.19E-08
-0.02297435,-0.039875132,0,0,0,2.55E-08
-0.017209826,-0.040419547,0,0,0,2.26E-08
-0.009854276,-0.039928051,0,0,0,1.67E-08
-0.000629107,-0.038751209,0,0,0,1.10E-08
0.010393917,-0.037215476,0,0,0,1.35E-08
0.022818667,-0.035567069,0,0,0,3.26E-08
0.036310272,-0.033919443,0,0,0,6.91E-08
0.050803768,-0.032201098,0,0,0,1.18E-07
0.066345995,-0.030165354,0,0,0,1.75E-07
0.082537201,-0.027459505,0,0,0,2.41E-07
0.098371382,-0.023780979,0,0,0,3.11E-07
0.113104294,-0.019200614,0,0,0,3.69E-07
0.126719314,-0.014079643,0,0,0,4.01E-07
0.139153526,-0.008671527,0,0,0,4.05E-07
0.149895275,-0.00312495,0,0,0,3.81E-07
0.158646815,0.002490945,0,0,0,3.35E-07
0.165557794,0.008267882,0,0,0,2.77E-07
0.170823918,0.014192625,0,0,0,2.18E-07
0.174562309,0.01993496,0,0,0,1.66E-07
