UX,UY,UZ,RX,RY,RZ
0,0,0,0,0,0
0.000221468,-0.000100654,-7.04E-06,1.59E-09,8.83E-10,2.96E-11
0.001087028,-0.000476138,-3.40E-05,6.03E-09,1.55E-09,3.30E-10
0.00279553,-0.001146615,-7.95E-05,1.28E-08,3.55E-10,1.41E-09
0.005405765,-0.002005554,-0.000124367,2.03E-08,-2.17E-10,3.59E-09
0.009026365,-0.002961245,-0.000149757,2.87E-08,2.06E-09,6.66E-09
0.013728532,-0.003900345,-0.000142394,4.00E-08,7.84E-09,1.05E-08
0.019593289,-0.004624157,-8.14E-05,5.07E-08,1.65E-08,1.46E-08
0.026834633,-0.004916563,6.99E-05,5.69E-08,2.94E-08,1.76E-08
0.03578551,-0.004644256,0.00035435,5.65E-08,5.53E-08,1.81E-08
0.046560935,-0.003807483,0.000788669,4.72E-08,1.03E-07,1.62E-08
0.058666563,-0.00259351,0.001328719,3.28E-08,1.66E-07,1.65E-08
0.071186635,-0.001269562,0.00189232,2.04E-08,2.25E-07,2.53E-08
0.083494949,2.15E-05,0.002431945,1.08E-08,2.73E-07,4.26E-08
0.095446274,0.001260866,0.002949336,1.90E-09,3.23E-07,6.07E-08
0.106759308,0.002430457,0.003430843,-5.46E-09,3.76E-07,7.44E-08
0.116816364,0.003487052,0.003827788,-1.12E-08,4.15E-07,8.74E-08
0.125306842,0.004399372,0.004116906,-1.57E-08,4.36E-07,1.06E-07
0.132363994,0.005182762,0.004317689,-1.82E-08,4.54E-07,1.27E-07
0.13796564,0.00590306,0.00444515,-1.91E-08,4.68E-07,1.44E-07
0.141943404,0.006629127,0.004503539,-1.93E-08,4.69E-07,1.55E-07
0.14437853,0.0074048,0.004510234,-1.95E-08,4.64E-07,1.65E-07
0.145446927,0.008280598,0.004485963,-1.95E-08,4.56E-07,1.78E-07
0.145340302,0.009350127,0.004454319,-2.02E-08,4.42E-07,1.90E-07
0.1443862,0.010725952,0.004449581,-2.32E-08,4.31E-07,1.98E-07
0.142792669,0.012503592,0.004493221,-2.97E-08,4.26E-07,2.01E-07
0.140590199,0.014720882,0.004588998,-4.33E-08,4.24E-07,1.98E-07
0.137734257,0.017247077,0.004724262,-6.47E-08,4.29E-07,1.94E-07
0.133890165,0.019762026,0.004847113,-8.74E-08,4.35E-07,1.97E-07
0.128607826,0.021918394,0.00489221,-1.05E-07,4.29E-07,2.08E-07
0.12171076,0.023521276,0.004828745,-1.14E-07,4.13E-07,2.23E-07
0.11321406,0.024608575,0.004658377,-1.14E-07,3.90E-07,2.34E-07
0.103183033,0.02535149,0.004391916,-1.13E-07,3.60E-07,2.35E-07
0.091650076,0.025861438,0.004028701,-1.12E-07,3.23E-07,2.26E-07
0.078691307,0.026158061,0.00356623,-1.08E-07,2.71E-07,2.12E-07
0.064717635,0.026272576,0.00303218,-1.03E-07,2.09E-07,1.95E-07
0.050331009,0.026305631,0.002476192,-9.51E-08,1.51E-07,1.71E-07
0.035881678,0.026408142,0.001933343,-8.83E-08,9.72E-08,1.36E-07
0.021464133,0.026669996,0.001409197,-8.52E-08,3.94E-08,9.43E-08
0.007463634,0.027063577,0.000917777,-8.27E-08,-2.61E-08,5.20E-08
-0.005232061,0.027573303,0.000515039,-8.16E-08,-7.97E-08,9.65E-09
-0.015948845,0.028205869,0.000242948,-8.60E-08,-1.10E-07,-3.95E-08
-0.024635451,0.028825494,8.33E-05,-9.42E-08,-1.28E-07,-9.36E-08
-0.031393375,0.029180465,-1.09E-06,-1.01E-07,-1.39E-07,-1.39E-07
-0.036282379,0.029103787,-3.32E-05,-1.07E-07,-1.38E-07,-1.68E-07
-0.039605424,0.028524001,-4.34E-05,-1.13E-07,-1.31E-07,-1.87E-07
-0.04176686,0.027290898,-7.71E-05,-1.16E-07,-1.29E-07,-2.01E-07
-0.042801981,0.025221695,-0.000155844,-1.08E-07,-1.30E-07,-2.08E-07
-0.042632318,0.02240446,-0.000269796,-8.77E-08,-1.22E-07,-2.08E-07
-0.041463481,0.019262706,-0.000405049,-6.57E-08,-1.18E-07,-2.12E-07
-0.039364023,0.01619524,-0.000537071,-5.07E-08,-1.19E-07,-2.22E-07
-0.036147238,0.013306831,-0.000641803,-4.01E-08,-1.16E-07,-2.31E-07
-0.031685637,0.010560303,-0.000709296,-2.86E-08,-1.13E-07,-2.38E-07
-0.025827533,0.007992028,-0.000717372,-1.81E-08,-1.06E-07,-2.42E-07
-0.01842261,0.005657482,-0.000643462,-1.15E-08,-9.10E-08,-2.42E-07
-0.00947795,0.003564138,-0.00048632,-5.38E-09,-6.86E-08,-2.35E-07
0.000978912,0.001737519,-0.000244196,-2.54E-09,-4.31E-08,-2.21E-07
0.013144557,0.000142278,0.000100344,-4.49E-09,-9.49E-09,-2.04E-07
0.027196514,-0.001354127,0.000554951,-5.58E-09,4.58E-08,-1.83E-07
0.042764861,-0.002859391,0.001087514,-7.84E-09,1.16E-07,-1.52E-07
0.05905668,-0.004506402,0.001636416,-1.09E-08,1.88E-07,-1.03E-07
0.075308649,-0.006411211,0.002147026,-7.63E-09,2.54E-07,-3.00E-08
0.090980955,-0.008464702,0.002601226,-1.33E-09,3.13E-07,5.52E-08
0.10566024,-0.01045254,0.002997813,4.38E-09,3.69E-07,1.36E-07
0.118841865,-0.012273145,0.003314423,1.35E-08,4.15E-07,2.05E-07
0.13011486,-0.013811186,0.003533178,2.78E-08,4.45E-07,2.67E-07
0.139499314,-0.01478298,0.003684341,4.03E-08,4.63E-07,3.23E-07
0.147151888,-0.014901314,0.00381307,4.46E-08,4.79E-07,3.65E-07
0.152991606,-0.014092814,0.003930212,4.08E-08,4.87E-07,3.89E-07
0.15703068,-0.012531685,0.004031177,3.19E-08,4.84E-07,4.03E-07
0.159522549,-0.010455441,0.004121899,2.62E-08,4.81E-07,4.16E-07
0.16058356,-0.007891469,0.00421373,2.10E-08,4.78E-07,4.24E-07
0.160267279,-0.004815523,0.004315363,6.77E-09,4.67E-07,4.19E-07
0.158917214,-0.001484867,0.00443259,-1.01E-08,4.57E-07,4.06E-07
0.156887421,0.001752851,0.004564425,-2.25E-08,4.60E-07,3.95E-07
0.154029558,0.004755803,0.004687204,-3.30E-08,4.69E-07,3.83E-07
0.149887975,0.007452293,0.004758975,-4.50E-08,4.71E-07,3.68E-07
0.144186089,0.009637126,0.004741709,-5.37E-08,4.65E-07,3.61E-07
0.136752883,0.011166526,0.004611252,-5.37E-08,4.54E-07,3.68E-07
0.127353139,0.012191757,0.004362303,-5.00E-08,4.30E-07,3.72E-07
0.115985013,0.012949691,0.004009738,-4.43E-08,3.92E-07,3.54E-07
0.102864178,0.013557068,0.003568027,-3.40E-08,3.50E-07,3.15E-07
0.088115136,0.014139717,0.003043677,-2.17E-08,2.96E-07,2.60E-07
0.072130875,0.014878985,0.002472675,-1.42E-08,2.27E-07,1.92E-07
0.055743659,0.015851387,0.001918838,-1.44E-08,1.60E-07,1.13E-07
0.039648466,0.016950847,0.001417572,-2.17E-08,1.00E-07,2.75E-08
0.024188633,0.017877814,0.000957954,-3.29E-08,4.35E-08,-5.69E-08
0.009681414,0.018233186,0.000518259,-3.73E-08,-1.28E-08,-1.33E-07
-0.003352466,0.017798531,0.000107832,-3.51E-08,-6.34E-08,-1.99E-07
-0.014282091,0.016537807,-0.000240191,-3.04E-08,-1.00E-07,-2.60E-07
-0.022685194,0.014437971,-0.000506004,-2.21E-08,-1.16E-07,-3.15E-07
