folder,angle,P195_UX_mean,P195_UX_std,P195_UX_extreme,P195_UY_mean,P195_UY_std,P195_UY_extreme,P195_RZ_mean,P195_RZ_std,P195_RZ_extreme,P54000062_UX_mean,P54000062_UX_std,P54000062_UX_extreme,P54000062_UY_mean,P54000062_UY_std,P54000062_UY_extreme,P54000062_RZ_mean,P54000062_RZ_std,P54000062_RZ_extreme,P54000070_UX_mean,P54000070_UX_std,P54000070_UX_extreme,P54000070_UY_mean,P54000070_UY_std,P54000070_UY_extreme,P54000070_RZ_mean,P54000070_RZ_std,P54000070_RZ_extreme,P54000071_UX_mean,P54000071_UX_std,P54000071_UX_extreme,P54000071_UY_mean,P54000071_UY_std,P54000071_UY_extreme,P54000071_RZ_mean,P54000071_RZ_std,P54000071_RZ_extreme,P54000079_UX_mean,P54000079_UX_std,P54000079_UX_extreme,P54000079_UY_mean,P54000079_UY_std,P54000079_UY_extreme,P54000079_RZ_mean,P54000079_RZ_std,P54000079_RZ_extreme
Model2_10yr_000,0,0.01,19.36,67.76,-0.0,35.94,125.8,0.0,0.0,0.0,0.01,20.71,72.5,-0.0,37.79,132.26,0.0,0.0,0.0,0.01,20.71,72.5,0.0,34.62,121.17,0.0,0.0,0.0,0.01,19.14,66.99,-0.0,37.79,132.26,0.0,0.0,0.0,0.01,19.14,66.99,0.0,34.62,121.17,0.0,0.0,0.0
Model2_10yr_005,5,-0.0,19.26,67.42,-0.0,41.57,145.49,-0.0,0.0,0.0,-0.0,20.66,72.33,-0.0,43.6,152.61,-0.0,0.0,0.0,-0.0,20.66,72.33,-0.0,40.03,140.1,-0.0,0.0,0.0,-0.0,19.16,67.05,-0.0,43.6,152.61,-0.0,0.0,0.0,-0.0,19.16,67.05,-0.0,40.03,140.1,-0.0,0.0,0.0
Model2_10yr_010,10,0.01,16.19,56.67,-0.01,37.89,132.62,0.0,0.0,0.0,0.01,17.55,61.43,-0.01,39.74,139.09,0.0,0.0,0.0,0.01,17.55,61.43,-0.01,36.54,127.88,0.0,0.0,0.0,0.01,16.2,56.73,-0.01,39.74,139.09,0.0,0.0,0.0,0.01,16.2,56.73,-0.01,36.54,127.88,0.0,0.0,0.0
Model2_10yr_015,15,0.0,17.81,62.33,-0.01,33.73,118.06,-0.0,0.0,0.0,0.0,19.05,66.68,-0.01,35.37,123.78,-0.0,0.0,0.0,0.0,19.05,66.68,-0.01,32.67,114.32,-0.0,0.0,0.0,0.0,17.77,62.21,-0.01,35.37,123.78,-0.0,0.0,0.0,0.0,17.77,62.21,-0.01,32.67,114.32,-0.0,0.0,0.0
Model2_10yr_020,20,-0.0,14.91,52.17,0.01,28.23,98.8,-0.0,0.0,0.0,0.0,15.91,55.68,0.01,29.57,103.51,-0.0,0.0,0.0,0.0,15.91,55.68,0.01,27.34,95.69,-0.0,0.0,0.0,-0.0,14.88,52.08,0.01,29.57,103.51,-0.0,0.0,0.0,-0.0,14.88,52.08,0.01,27.34,95.69,-0.0,0.0,0.0
Model2_10yr_025,25,-0.0,15.42,53.98,0.0,23.06,80.71,-0.0,0.0,0.0,-0.0,16.31,57.1,0.0,24.23,84.8,-0.0,0.0,0.0,-0.0,16.31,57.1,0.0,22.34,78.21,-0.0,0.0,0.0,-0.0,15.28,53.48,0.0,24.23,84.8,-0.0,0.0,0.0,-0.0,15.28,53.48,0.0,22.34,78.21,-0.0,0.0,0.0
Model2_10yr_030,30,-0.0,15.19,53.15,0.0,23.24,81.35,0.0,0.0,0.0,-0.0,15.99,55.97,0.0,24.41,85.45,0.0,0.0,0.0,-0.0,15.99,55.97,0.0,22.44,78.54,0.0,0.0,0.0,-0.0,15.03,52.59,0.0,24.41,85.45,0.0,0.0,0.0,-0.0,15.03,52.59,0.0,22.44,78.54,0.0,0.0,0.0
Model2_10yr_035,35,-0.0,17.16,60.06,0.0,20.82,72.86,0.0,0.0,0.0,-0.0,17.95,62.84,0.0,21.82,76.36,0.0,0.0,0.0,-0.0,17.95,62.84,0.0,20.17,70.6,0.0,0.0,0.0,-0.0,16.84,58.94,0.0,21.82,76.36,0.0,0.0,0.0,-0.0,16.84,58.94,0.0,20.17,70.6,0.0,0.0,0.0
Model2_10yr_040,40,-0.01,17.2,60.2,-0.01,18.66,65.31,-0.0,0.0,0.0,-0.01,18.01,63.01,-0.01,19.69,68.91,-0.0,0.0,0.0,-0.01,18.01,63.01,-0.01,17.97,62.87,-0.0,0.0,0.0,-0.01,16.8,58.78,-0.01,19.69,68.91,-0.0,0.0,0.0,-0.01,16.8,58.78,-0.01,17.97,62.87,-0.0,0.0,0.0
Model2_10yr_045,45,-0.01,16.62,58.15,0.0,18.73,65.55,-0.0,0.0,0.0,-0.01,17.36,60.75,0.0,19.7,68.94,-0.0,0.0,0.0,-0.01,17.36,60.75,0.0,18.03,63.13,-0.0,0.0,0.0,-0.01,16.22,56.76,0.0,19.7,68.94,-0.0,0.0,0.0,-0.01,16.22,56.76,0.0,18.03,63.13,-0.0,0.0,0.0
