FLOOR_LEVEL,MASS_X,MASS_Y,MASS_Z,MASS_R1,MASS_R2,MASS_R3
6000,0.0,0.0,0.0,0.0,0.0,0.0
10500,0.0,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0.0,0.0,0.0,0.0
19500,0.0,0.0,0.0,0.0,0.0,0.0
23100,0.0,0.0,0.0,0.0,0.0,0.0
26700,0.0,0.0,0.0,0.0,0.0,0.0
30300,0.0,0.0,0.0,0.0,0.0,0.0
33900,0.0,0.0,0.0,0.0,0.0,0.0
37500,0.0,0.0,0.0,0.0,0.0,0.0
41100,0.0,0.0,0.0,0.0,0.0,0.0
44700,0.0,0.0,0.0,0.0,0.0,0.0
48300,0.0,0.0,0.0,0.0,0.0,0.0
51900,0.0,0.0,0.0,0.0,0.0,0.0
55500,0.0,0.0,0.0,0.0,0.0,0.0
59100,0.0,0.0,0.0,0.0,0.0,0.0
62700,0.0,0.0,0.0,0.0,0.0,0.0
66300,0.0,0.0,0.0,0.0,0.0,0.0
69900,0.0,0.0,0.0,0.0,0.0,0.0
73500,0.0,0.0,0.0,0.0,0.0,0.0
77100,0.0,0.0,0.0,0.0,0.0,0.0
80700,0.0,0.0,0.0,0.0,0.0,0.0
84300,0.0,0.0,0.0,0.0,0.0,0.0
87900,0.0,0.0,0.0,0.0,0.0,0.0
91500,0.0,0.0,0.0,0.0,0.0,0.0
95100,0.0,0.0,0.0,0.0,0.0,0.0
98700,0.0,0.0,0.0,0.0,0.0,0.0
102300,0.0,0.0,0.0,0.0,0.0,0.0
105900,0.0,0.0,0.0,0.0,0.0,0.0
109500,0.0,0.0,0.0,0.0,0.0,0.0
113100,0.0,0.0,0.0,0.0,0.0,0.0
116700,0.0,0.0,0.0,0.0,0.0,0.0
120300,0.0,0.0,0.0,0.0,0.0,0.0
123900,0.0,0.0,0.0,0.0,0.0,0.0
127500,0.0,0.0,0.0,0.0,0.0,0.0
131100,0.0,0.0,0.0,0.0,0.0,0.0
134700,0.0,0.0,0.0,0.0,0.0,0.0
138300,0.0,0.0,0.0,0.0,0.0,0.0
141900,0.0,0.0,0.0,0.0,0.0,0.0
145500,0.0,0.0,0.0,0.0,0.0,0.0
149100,0.0,0.0,0.0,0.0,0.0,0.0
152700,0.0,0.0,0.0,0.0,0.0,0.0
156300,0.0,0.0,0.0,0.0,0.0,0.0
159900,0.0,0.0,0.0,0.0,0.0,0.0
163500,0.0,0.0,0.0,0.0,0.0,0.0
167100,0.0,0.0,0.0,0.0,0.0,0.0
170700,0.0,0.0,0.0,0.0,0.0,0.0
174300,0.0,0.0,0.0,0.0,0.0,0.0
177900,0.0,0.0,0.0,0.0,0.0,0.0
181500,0.0,0.0,0.0,0.0,0.0,0.0
185100,0.0,0.0,0.0,0.0,0.0,0.0
188700,0.0,0.0,0.0,0.0,0.0,0.0
192300,0.0,0.0,0.0,0.0,0.0,0.0
196150,0.0,0.0,0.0,0.0,0.0,0.0
200000,0.0,0.0,0.0,0.0,0.0,0.0
